,Index,ExpirationDate,CallsLastPrice,CallsChange,CallsChangePct,CallsVolume,CallsOI,Strike,PutsLastPrice,PutsChange,PutsChangePct,PutsVolume,PutsOI,last_price_link,change_link,change_link.1,volume_link,open_interest_link,strike_link,last_price_link.1,change_link.2,change_link.3,volume_link.1,open_interest_link.1
53,53,2016-11-04,0.01,0.00,0.00%,"1,301","14,282",220.0,5.75,0.61,11.87%,3,"1,393",,,,,,/quote/SPY/options?strike=220&straddle=true,,,,,
54,54,2016-11-04,0.01,-0.01,-50.00%,"1,136","14,447",220.5,7.01,0.49,7.52%,23,128,,,,,,/quote/SPY/options?strike=220.5&straddle=true,,,,,
55,55,2016-11-04,0.01,0.00,0.00%,51,"38,832",221.0,7.66,0.00,0.00%,3,198,,,,,,/quote/SPY/options?strike=221&straddle=true,,,,,
56,56,2016-11-04,0.01,0.00,0.00%,"4,089","12,529",221.5,6.93,0.00,0.00%,1,27,,,,,,/quote/SPY/options?strike=221.5&straddle=true,,,,,
57,57,2016-11-04,0.01,0.00,0.00%,248,"12,624",222.0,7.39,0.25,3.50%,10,239,,,,,,/quote/SPY/options?strike=222&straddle=true,,,,,
58,58,2016-11-04,0.01,0.00,0.00%,33,"23,262",222.5,7.03,0.00,0.00%,17,27,,,,,,/quote/SPY/options?strike=222.5&straddle=true,,,,,
59,59,2016-11-04,0.01,0.00,0.00%,37,"5,499",223.0,8.90,0.88,10.97%,22,74,,,,,,/quote/SPY/options?strike=223&straddle=true,,,,,
60,60,2016-11-04,0.01,0.00,0.00%,501,"2,846",223.5,5.68,0.00,0.00%,2,0,,,,,,/quote/SPY/options?strike=223.5&straddle=true,,,,,
61,61,2016-11-04,0.01,0.00,0.00%,6,"6,396",224.0,9.21,0.00,0.00%,20,59,,,,,,/quote/SPY/options?strike=224&straddle=true,,,,,
62,62,2016-11-04,0.01,0.00,0.00%,255,583,224.5,9.88,0.00,0.00%,10,10,,,,,,/quote/SPY/options?strike=224.5&straddle=true,,,,,
63,63,2016-11-04,0.01,0.00,0.00%,11,"2,383",225.0,10.70,0.30,2.88%,60,187,,,,,,/quote/SPY/options?strike=225&straddle=true,,,,,
64,64,2016-11-04,0.01,-0.02,-66.67%,"1,500",288,225.5,9.40,0.00,0.00%,2,1,,,,,,/quote/SPY/options?strike=225.5&straddle=true,,,,,
65,65,2016-11-04,0.01,0.00,0.00%,5,341,226.0,11.85,-0.05,-0.42%,10,42,,,,,,/quote/SPY/options?strike=226&straddle=true,,,,,
67,67,2016-11-04,0.01,0.00,0.00%,100,"2,249",227.0,12.32,0.00,0.00%,1,0,,,,,,/quote/SPY/options?strike=227&straddle=true,,,,,
69,69,2016-11-04,0.01,-0.01,-50.00%,14,58,228.0,13.89,0.00,0.00%,4,8,,,,,,/quote/SPY/options?strike=228&straddle=true,,,,,
73,73,2016-11-04,0.01,0.00,0.00%,9,241,230.0,16.86,2.93,21.03%,3,5,,,,,,/quote/SPY/options?strike=230&straddle=true,,,,,
79,79,2016-11-04,0.01,0.00,0.00%,1,3,240.0,25.25,0.05,0.20%,1,77,,,,,,/quote/SPY/options?strike=240&straddle=true,,,,,
81,81,2016-11-04,0.01,0.00,0.00%,1,77,245.0,32.20,0.00,0.00%,2,0,,,,,,/quote/SPY/options?strike=245&straddle=true,,,,,
